Year,Month,Author(s),Title,Journal,DOI,Declaration,Documentation,Notes
2021,3,"Ngo-Muller, Valerie; Engel, Michael S.; Garrouste, Romain; Pouillon, Jean-Marc; Nel, Andr","The first predatory dance fly of the subfamily Ocydromiinae with specialized, raptorial legs in mid-Cretaceous amber from Myanmar (Diptera: Hybotidae)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104697,No,No,
2021,3,"Caterino, Michael S.",NEW FOSSIL HISTERID SPECIES FROM CRETACEOUS BURMESE AMBER (COLEOPTERA: HISTERIDAE),COLEOPTERISTS BULLETIN,10.1649/0010-065X-75.1.211,Unavailable,Unavailable,
2021,3,"Heiss, Ernst; Kairiss, Kristaps; Bukejs, Andris",The invisibile becomes visible: X-ray micro-CT reconstruction of Aneurus damzeni sp. nov. (Hemiptera: Heteroptera: Aradidae) from Eocene Baltic amber,ZOOTAXA,10.11646/zootaxa.4950.1.11,NOT FOCUSED ON MYANMAR,,Baltic amber
2021,3,"Mey, Wolfram; Leger, Theo; Vu Van Lien","New taxa of extant and fossil primitive moths in South-East Asia and their biogeographic significance (Lepidoptera, Micropterigidae, Agathiphagidae, Lophocoronidae)",NOTA LEPIDOPTEROLOGICA,10.3897/nl.44.52350,No,No,
2021,4,"Chen, Xin-Yu; Zhang, Hua-Chuan","Eminepygia myanmarensis sp. nov., a new Earwig (Dermaptera) Nymph in Burmese Amber",ZOOTAXA,10.11646/zootaxa.4952.3.9,Unavailable,Unavailable,
2021,4,"Luo, Cihang; Wang, Bo; Jarzembowski, Edmund A.",A Bizarre Planthopper Nymph (Hemiptera: Fulgoroidea) from Mid-Cretaceous Kachin Amber,INSECTS,10.3390/insects12040318,Yes,No,"""To avoid any confusion and misunderstanding, all authors declare that the fossil reported in this study was not involved in armed conflict and ethnic strife in Myanmar. This specimen is deposited permanently in a publicly owned collection in a national museum, in full compliance with the International Code of Zoological Nomenclature and Statement of the International Palaeoentomological Society"""
2021,4,"LI, YAN-DA; TIHELKA, E. R. I. K.; HUANG, D. I. Y. I. N. G.; CAI, C. H. E. N. Y. A. N. G.","Murcybolus gen. nov., a new net-winged beetle genus from mid-Cretaceous Burmese amber (Coleoptera: Lycidae: Burmolycini)",ZOOTAXA,10.11646/zootaxa.4966.1.8,No,No,
2021,4,"Hakim, Marina; Azar, Dany; Szwedo, Jacek; Drohojowska, Jowita; Huang, Diying","Paraprotopsyllidiidae fam. nov., a new thrips-like protopsyllidioid family from mid-Cretaceous Burmese amber (Hemiptera; Sternorrhyncha)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104726,No,No,
2021,4,"Tihelka, Erik; Huang, Diying; Cai, Chenyang",A new subfamily of hide beetles from the Cretaceous of northern Myanmar (Coleoptera: Scarabaeoidea: Trogidae),HISTORICAL BIOLOGY,10.1080/08912963.2019.1641705,No,No,"""The amber was obtained from a commercial mine"""
2021,4,"Jouault, Corentin; Ngo-Muller, Valerie; Pouillon, Jean-Marc; Nel, Andre",New Burmese amber fossils clarify the evolution of bethylid wasps (Hymenoptera: Chrysidoidea),ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1093/zoolinnean/zlaa078,No,No,
2021,4,"Sevcik, Jan; Skartveit, John; Krzeminski, Wieslaw; Skibinska, Kornelia",A Peculiar New Genus of Bibionomorpha (Diptera) with Brachycera-Like Modification of Antennae from Mid-Cretaceous Amber of Myanmar,INSECTS,10.3390/insects12040364,No,No,
2021,4,"Badano, Davide; Zhang, Qingqing; Fratini, Michela; Maugeri, Laura; Bukreeva, Inna; Longo, Elena; Wilde, Fabian; Yeates, David K.; Cerretti, Pierfilippo","Discovery of Lebambromyia in Myanmar Cretaceous Amber: Phylogenetic and Biogeographic Implications (Insecta, Diptera, Phoroidea)",INSECTS,10.3390/insects12040354,Yes,No,"""We are aware of the ethical issues involving Burmese amber and we declare that the specimen was collected before the humanitarian crisis that started in the excavation areas in 2017 [12]. The specimen is deposited in the Nanjing Institute of Geology and Palaeontology (NIGP), Chinese Academy of Sciences at Nanjing, China, in full compliance with the recommendations of ICZN [13], and the instructions of the International Palaeoentomological Society [14]. The material examined during the present study was borrowed from the NIGP with the assurance that it had been acquired and imported in compliance with all local procedures and regulations."""
